platform,video_id,title,author,author_id,snapshot_date,view_count,like_count,comment_count,share_count,favorite_count,coin_count,danmaku_count,publish_date,tags,url
bilibili,BV11jB9BREdb,爽玩服0氪落地1小时三觉，全程保姆教学！,率土深刻,1409877018,2026-04-17,60708,683,174,0,656,-1,32,2025-12-26,"动作游戏,DNF,MMORPG,率土之滨",https://www.bilibili.com/video/BV11jB9BREdb
bilibili,BV1mKQ3BzE31,普通赵云+魏贾诩增强质变还是皮毛增强浪部解读分析#率土之滨##普通赵云##魏贾诩#,浪部配将,299615441,2026-04-17,12686,153,168,0,8,-1,5,2026-04-14,"赵云,三国,贾诩,率土之滨,sp赵云,魏贾诩,魏智,必剪创作,魏贾诩魏智,普通赵云",https://www.bilibili.com/video/BV1mKQ3BzE31
bilibili,BV1hiQEBwEPf,【率土】被高手秒蹲后掀桌子打法和对面爆了？！,率土无忧-战略艺术,3546761605941883,2026-04-17,4790,123,8,0,7,-1,1,2026-04-15,"三国,率土之滨,率土星推计划",https://www.bilibili.com/video/BV1hiQEBwEPf
bilibili,BV1wV411r7Yg,【萌新讲堂】第一期：萌新玩家如何玩转率土各个阶段？,网易率土之滨手游,401542445,2026-04-17,41300,366,65,0,86,-1,28,2020-07-24,"手游暑假作业,手机游戏,策略游戏,率土之滨,三国,网易游戏,新手",https://www.bilibili.com/video/BV1wV411r7Yg
bilibili,BV1GH4y1k7ss,玩到真三国！带你一口气看完挑战从零霸服率土之滨！,一叮当猫一,450882837,2026-04-17,805033,17521,476,0,4160,-1,1640,2023-12-08,"游戏,搞笑,手机游戏,三国,挑战,游戏解说,策略游戏,率土之滨,SLG游戏,整点电子榨菜",https://www.bilibili.com/video/BV1GH4y1k7ss
bilibili,BV1tz4y1c7Di,萌新零氪玩率土之滨一周，体验感绷不住 #1,泠代Lulu,198984982,2026-04-17,512203,6134,540,0,706,-1,416,2023-11-25,"搞笑,三国,游戏解说,策略游戏,实况攻略,率土之滨,slg,整活,整点电子榨菜,策略解说,整点电子榨菜第七期",https://www.bilibili.com/video/BV1tz4y1c7Di
bilibili,BV1jLD9BzEdH,一口气沦陷十座主城，且看且珍惜！,率土无忧-战略艺术,3546761605941883,2026-04-17,7212,263,52,0,18,-1,13,2026-04-12,"率土之滨,率土星推计划",https://www.bilibili.com/video/BV1jLD9BzEdH
bilibili,BV1UqdaBkEwc,【率土】看兵种抓克制持续低损爽吃！？,率土无忧-战略艺术,3546761605941883,2026-04-17,1820,64,9,0,1,-1,2,2026-04-16,"三国,策略游戏,率土之滨,率土星推计划",https://www.bilibili.com/video/BV1UqdaBkEwc
bilibili,BV1hG411f7QB,愿为先锋，为弟鞍马，萌新70个648进军率土之滨！,鬼叔黍,38568774,2026-04-17,1853265,83056,2559,0,9827,-1,8330,2023-08-18,"氪金,抽卡,率土之滨,游戏暑期狂欢节,鬼叔黍",https://www.bilibili.com/video/BV1hG411f7QB
bilibili,BV1AhQJBsEJv,率土新制作人阿文能相信吗？核心策划不把玩家当人历历在目 （X5540 无疆）,星月舞世界,480631562,2026-04-17,1669,21,14,0,0,-1,5,2026-04-16,"攻略,网易,三国,氪金,平民,开荒,SLG,率土之滨,配将,星月舞",https://www.bilibili.com/video/BV1AhQJBsEJv
