platform,video_id,title,author,author_id,snapshot_date,view_count,like_count,comment_count,share_count,favorite_count,coin_count,danmaku_count,publish_date,tags,url
taptap,139546,三国志·战略版,,,2026-04-17,2116415,1222583,15969,0,36,0,0,,,https://www.taptap.cn/app/139546
taptap,190417,物华弥新,,,2026-04-17,2091454,2091704,13924,0,566,0,0,,,https://www.taptap.cn/app/190417
taptap,82921,万国觉醒,,,2026-04-17,2213620,1538108,30683,0,79,0,0,,,https://www.taptap.cn/app/82921
taptap,214691,重返帝国,,,2026-04-17,262310,355459,3932,0,4,0,0,,,https://www.taptap.cn/app/214691
taptap,531539,世界启元,,,2026-04-17,367410,491826,1685,0,8,0,0,,,https://www.taptap.cn/app/531539
taptap,231537,三国：谋定天下,,,2026-04-17,1102359,950401,9193,0,36,0,0,,,https://www.taptap.cn/app/231537
taptap,759941,三国：天下归心,,,2026-04-17,128496,261568,1759,0,193,0,0,,,https://www.taptap.cn/app/759941
taptap,521534,无尽冬日,,,2026-04-17,990811,988521,4237,0,43,0,0,,,https://www.taptap.cn/app/521534
taptap,190930,少女前线2：追放,,,2026-04-17,2898349,2585314,26384,0,279,0,0,,,https://www.taptap.cn/app/190930
taptap,220456,亿万光年,,,2026-04-17,118681,250456,2072,0,143,0,0,,,https://www.taptap.cn/app/220456
taptap,755439,异世界的城主大人,,,2026-04-17,268139,235217,1117,0,472,0,0,,,https://www.taptap.cn/app/755439
taptap,60187,王国纪元,,,2026-04-17,2594155,825153,4445,0,12,0,0,,,https://www.taptap.cn/app/60187
taptap,214603,星际猎人,,,2026-04-17,2099902,1323215,8818,0,94,0,0,,,https://www.taptap.cn/app/214603
taptap,211067,战火勋章,,,2026-04-17,690671,484217,1457,0,43,0,0,,,https://www.taptap.cn/app/211067
taptap,209866,铃兰之剑：为这和平的世界,,,2026-04-17,2576974,2025661,27912,0,314,0,0,,,https://www.taptap.cn/app/209866
taptap,384273,帝国崛起,,,2026-04-17,0,381785,908,0,63,0,0,,,https://www.taptap.cn/app/384273
taptap,159727,模拟帝国,,,2026-04-17,1171553,619549,4477,0,140,0,0,,,https://www.taptap.cn/app/159727
taptap,746451,王于兴师,,,2026-04-17,148895,104373,902,0,29,0,0,,,https://www.taptap.cn/app/746451
taptap,168643,帝国军团罗马,,,2026-04-17,1291298,854458,3360,0,26,0,0,,,https://www.taptap.cn/app/168643
taptap,748248,三国：冰河时代,,,2026-04-17,50168,85770,121,0,8,0,0,,,https://www.taptap.cn/app/748248
taptap,238517,万龙觉醒,,,2026-04-17,372605,322914,1174,0,14,0,0,,,https://www.taptap.cn/app/238517
taptap,824115,三国志：王道天下,,,2026-04-17,0,21710,191,0,6,0,0,,,https://www.taptap.cn/app/824115
taptap,233558,钢岚,,,2026-04-17,996541,1172799,8407,0,58,0,0,,,https://www.taptap.cn/app/233558
taptap,201538,钢铁命令,,,2026-04-17,614505,384147,2079,0,32,0,0,,,https://www.taptap.cn/app/201538
taptap,532667,野兽领主：新世界,,,2026-04-17,505173,393411,575,0,1,0,0,,,https://www.taptap.cn/app/532667
taptap,15971,策略军团,,,2026-04-17,311100,179535,2548,0,41,0,0,,,https://www.taptap.cn/app/15971
