snapshot_date,platform,keyword,order,limit,total_results,total_results_display,is_capped,num_pages,page_size,fetched_count,pages,error,created_at
2026-04-24,bilibili,三国志战略版,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:52:48
2026-04-24,bilibili,率土之滨,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:52:50
2026-04-24,bilibili,三国谋定天下,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:52:52
2026-04-24,bilibili,世界启元,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:52:54
2026-04-24,bilibili,鸿图之下,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:52:56
2026-04-24,bilibili,汉末霸业,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:52:58
2026-04-24,bilibili,三国群英传,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:52:59
2026-04-24,bilibili,同人圣三国蜀汉传,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:01
2026-04-24,bilibili,策马三国志,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:03
2026-04-24,bilibili,九州劫,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:04
2026-04-24,bilibili,秦皇汉武,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:06
2026-04-24,bilibili,全战三国,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:08
2026-04-24,bilibili,三国志,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:09
2026-04-24,bilibili,三国SLG,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:11
2026-04-24,bilibili,沙盘战略,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:13
2026-04-24,bilibili,率土like,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:14
2026-04-24,bilibili,三战创作者计划,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:16
2026-04-24,bilibili,三战,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:17
2026-04-24,bilibili,平民,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:19
2026-04-24,bilibili,教程攻略,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:21
2026-04-24,bilibili,零氪,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:22
2026-04-24,bilibili,游戏知识分享官,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:24
2026-04-24,bilibili,三国志战略版攻略,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:26
2026-04-24,bilibili,有啥配啥打天下,totalrank,20,1000,>=1000,True,24,42,20,1,,2026-04-24T23:53:27
