platform,video_id,title,author,author_id,snapshot_date,view_count,like_count,comment_count,share_count,favorite_count,coin_count,danmaku_count,publish_date,tags,url
bilibili,BV1mKQ3BzE31,普通赵云+魏贾诩增强质变还是皮毛增强浪部解读分析#率土之滨##普通赵云##魏贾诩#,浪部配将,299615441,2026-04-15,7455,115,110,0,5,0,3,2026-04-14,"三国,普通赵云,魏贾诩魏智,sp赵云,必剪创作,魏智,魏贾诩,率土之滨,贾诩,赵云",https://www.bilibili.com/video/BV1mKQ3BzE31
bilibili,BV1QEQvBmEZu,率土之滨武将加强，要不要试试。现在上限高了很多。#率土之滨 #率土星推计划 #率批同盟故事会,鬼才配将专业开荒,2059555717,2026-04-15,2443,21,23,0,0,0,2,2026-04-14,"率土之滨,策略游戏,三国",https://www.bilibili.com/video/BV1QEQvBmEZu
bilibili,BV1hLQgBCEbL,【04月15日例行更新预告】送达，主公们快来查看详情~,网易率土之滨手游,401542445,2026-04-15,1272,49,15,0,3,0,0,2026-04-14,率土之滨,https://www.bilibili.com/video/BV1hLQgBCEbL
bilibili,BV13EQgBkE5z,五万伤害的关妹，终于站起来了。关妹张机刘禅，配宝物金鸠。,率土之滨优神,698180499,2026-04-15,1962,34,28,0,12,0,0,2026-04-14,"策略游戏,三国,率土之滨优神,率批同盟故事会,率土星推计划,金鸠,全网最细,率土之滨,教程攻略,关妹",https://www.bilibili.com/video/BV13EQgBkE5z
bilibili,BV1rYQhBQErq,王异张宁张辽，最强王异法刀之一#率土之滨##王异##张宁#,浪部配将,299615441,2026-04-15,2027,25,27,0,12,0,5,2026-04-13,"王异法刀,必剪创作,游戏杂谈,三国,率土之滨,张宁,王异,张辽",https://www.bilibili.com/video/BV1rYQhBQErq
bilibili,BV1RXQgBEEau,4月15日例行更新，普通赵云、魏贾诩加强了？,率土之滨零,1889348071,2026-04-15,478,10,0,0,0,0,0,2026-04-14,"率土更新预告,率批同盟故事会,率土星推计划,率土之滨",https://www.bilibili.com/video/BV1RXQgBEEau
bilibili,BV1mEQbBWEB2,提前转入备战区，荣誉值照常给，结算卡包变乱世，个人评定变平。#率土之滨 #率土星推计划 #率批同盟故事会,率土云弈,454549458,2026-04-15,1589,15,4,0,1,0,0,2026-04-13,"桌游棋牌,率土之滨,三国",https://www.bilibili.com/video/BV1mEQbBWEB2
bilibili,BV13LQgByEbk,【4.15更新预告】赵云、魏贾诩加强!曹操动态画像返场!,虚言久念,313695507,2026-04-15,185,3,4,0,0,0,0,2026-04-14,"率批同盟故事会,率土星推计划,率土之滨",https://www.bilibili.com/video/BV13LQgByEbk
bilibili,BV1L5QvBHEaV,普通赵云和贾诩迎来小加强。#率土之滨 #率土星推计划 #率批同盟故事会,率土云弈,454549458,2026-04-15,1328,15,5,0,0,0,0,2026-04-14,"率土之滨,游戏杂谈,三国",https://www.bilibili.com/video/BV1L5QvBHEaV
bilibili,BV1UCQuBvEnm,《碗碗找号日记》4月14号，备战区238能组4队一线，兄弟们 值得入手吗？#率土之滨 #率土星推计划 #率土三国懂王 #瓜分老罗百万赏金 #老罗在率土玩到真三国,率土碗碗承接开荒配将,424139391,2026-04-15,67,1,1,0,0,0,0,2026-04-14,"率土之滨,MMORPG,三国",https://www.bilibili.com/video/BV1UCQuBvEnm
bilibili,BV1cvQhBHEJM,王异卫瓘张辽，最强王异法刀之一#率土之滨##王异##卫瓘#,浪部配将,299615441,2026-04-15,1941,32,28,0,18,0,0,2026-04-13,"王异法刀,必剪创作,手游情报,三国,卫瓘,率土之滨,教程攻略,王异,张辽",https://www.bilibili.com/video/BV1cvQhBHEJM
bilibili,BV1wV411r7Yg,【萌新讲堂】第一期：萌新玩家如何玩转率土各个阶段？,网易率土之滨手游,401542445,2026-04-15,41206,363,65,0,86,0,28,2020-07-24,"手游暑假作业,新手,策略游戏,网易游戏,手机游戏,三国,率土之滨",https://www.bilibili.com/video/BV1wV411r7Yg
bilibili,BV1ybQhBsEvn,率土之滨,乔安乔帮主,88060468,2026-04-15,1021,14,3,0,3,0,0,2026-04-13,"手游情报,率土之滨,游戏实况",https://www.bilibili.com/video/BV1ybQhBsEvn
bilibili,BV1msQgBqET7,曹操动态画像【天下归心】限时返场！,网易率土之滨手游,401542445,2026-04-15,787,12,8,0,2,0,0,2026-04-14,"率土之滨,曹操",https://www.bilibili.com/video/BV1msQgBqET7
bilibili,BV198QuB5ERw,4月15日例行更新，魏贾诩又站起来了？普通赵云能追赶上sp赵云的步伐吗？,率土之滨兮兮一点,507678776,2026-04-15,239,5,0,0,0,0,0,2026-04-14,"率土更新预告,率批同盟故事会,率土星推计划,率土之滨",https://www.bilibili.com/video/BV198QuB5ERw
bilibili,BV1kiQYBtEQB,粉丝现在玩的几队，他说屎都被打出来了。#率土之滨 #率土星推计划 #率批同盟故事会,率土云弈,454549458,2026-04-15,802,12,2,0,2,0,0,2026-04-14,"率土之滨,抽卡,三国",https://www.bilibili.com/video/BV1kiQYBtEQB
bilibili,BV1SVDRBfEHy,大黄乐冲榜教程：带个正常小号，就能轻松突破1w+势力,率土十九,3546717676898594,2026-04-15,577,8,4,0,2,0,1,2026-04-13,"大黄乐冲榜,大黄乐开荒,率批同盟故事会,率土之滨星推计划,率土开荒攻略,手游情报,直播录像,率土之滨",https://www.bilibili.com/video/BV1SVDRBfEHy
bilibili,BV1dkQhB1Efh,王异司马懿张辽【不带反计不带战必】计险单骑法刀#率土之滨##王异##司马懿#,浪部配将,299615441,2026-04-15,906,10,2,0,2,0,0,2026-04-13,"王异法刀,晋司马懿,必剪创作,率土之滨,司马懿,教程攻略,王异,张辽,三国",https://www.bilibili.com/video/BV1dkQhB1Efh
bilibili,BV1kKDdBWE9B,重磅消息！【率土之滨】国际服现开启玩家意愿征集，想要什么你说了算！,钱中庭xian,1188577840,2026-04-15,272,6,5,0,1,0,0,2026-04-13,率土之滨,https://www.bilibili.com/video/BV1kKDdBWE9B
bilibili,BV1BBQbB6EJ7,黄鱼队，黄盖程昱曹操。黄盖的出伤原理，你们了解吗？,率土之滨优神,698180499,2026-04-15,2177,40,13,0,6,0,0,2026-04-13,"黄鱼队,率土之滨优神,率批同盟故事会,率土星推计划,全网最细,率土之滨,教程攻略,策略游戏,黄盖",https://www.bilibili.com/video/BV1BBQbB6EJ7
bilibili,BV1vyQKBME8y,率土之滨难民这套！打得满红怀疑人生！,赤线氨糖醇,3706945397590667,2026-04-15,1962,31,24,0,6,0,7,2026-04-11,"我在B站做游戏,桌游棋牌,直播录像,游戏实况,三国,零氪,率土之滨,平民",https://www.bilibili.com/video/BV1vyQKBME8y
bilibili,BV1pg411X711,率土之滨最大的一次事件,bili_43978550283,1425592605,2026-04-15,39748,172,45,0,33,0,14,2022-06-23,率土之滨,https://www.bilibili.com/video/BV1pg411X711
bilibili,BV1F8Q4BuEyr,率土你不知道的荣誉冷知识,SLG-欧皇夏老大,248508563,2026-04-15,326,6,0,0,3,0,0,2026-04-14,"率土之滨,教程攻略,BUG",https://www.bilibili.com/video/BV1F8Q4BuEyr
bilibili,BV1ZhcbeMEbs,【率批有活儿】率土玩家的真实现状,网易率土之滨手游,401542445,2026-04-15,90342,780,77,0,86,0,3,2025-01-14,"SLG,沙盒,三国,游戏,率土之滨,手机游戏",https://www.bilibili.com/video/BV1ZhcbeMEbs
bilibili,BV1U6QuBqEqq,六年率土，一张月卡，四星武将，热爱藏在细节里！,率土小军,3632302542293119,2026-04-15,188,3,1,0,1,0,0,2026-04-14,"率批同盟故事会,率土星推计划,率土之滨",https://www.bilibili.com/video/BV1U6QuBqEqq
bilibili,BV1bqDyBYEMo,率土赛季缩短到40天左右！这些细节一定要注意！,青衫大神二徒弟,3690988604229683,2026-04-15,1270,7,4,0,0,0,0,2026-04-11,"率批同盟故事会,率土星推计划,率土之滨",https://www.bilibili.com/video/BV1bqDyBYEMo
bilibili,BV1u8QxBJE7T,盟友大叔自榨花生油事件：金主虎哥：收到花生油了吗？盟友：我们只收到花生没有油！#率土之滨 #率土星推计划 #率批同盟故事会 #率批AI整活,三国钱钱,3690989875104390,2026-04-15,3386,168,21,0,0,0,0,2026-04-13,"率批AI整活,率批同盟故事会,率土星推计划,率土之滨",https://www.bilibili.com/video/BV1u8QxBJE7T
bilibili,BV1JMD9B5Ezu,率土平民必玩队伍-总有一队适合你！,流年度夏,1841978126,2026-04-15,1148,23,4,0,6,0,1,2026-04-12,"率批同盟故事会,率土星推计划,率土之滨",https://www.bilibili.com/video/BV1JMD9B5Ezu
bilibili,BV1GWD9BPEUB,率土之滨主城队伍推荐，这期没有曹纯版本。#率土之滨 #率土星推计划 #率批同盟故事会,鬼才配将专业开荒,2059555717,2026-04-15,1047,9,2,0,2,0,0,2026-04-12,"桌游棋牌,三国,率土之滨",https://www.bilibili.com/video/BV1GWD9BPEUB
bilibili,BV1SpQGB2Eh8,率土之滨群雄武将强度从夯到拉（中）,伊昭zzZ,130231220,2026-04-15,82,4,0,0,0,0,0,2026-04-14,"三国,率土之滨,教程攻略",https://www.bilibili.com/video/BV1SpQGB2Eh8
bilibili,BV1SuQPBWENs,甘宁这“疯狗队”杀疯了！荀彧直接被砍到兵力0？#率土之滨 #率土星推计划 #率批同盟故事会#真实生活分享计划,无心趣玩,517037025,2026-04-15,665,7,1,0,0,0,0,2026-04-10,"率土之滨,教程攻略,搞笑",https://www.bilibili.com/video/BV1SuQPBWENs
bilibili,BV1HsDuBREXa,近60%胜率【芝士赵不带垒实更强？】赵云最强配队sp赵云张机严颜#率土之滨##sp赵云##芝士赵#,浪部配将,299615441,2026-04-15,3940,46,29,0,5,0,2,2026-04-04,"必剪创作,芝士,赵云,正始,张机,sp赵云,严颜,率土之滨,正始之变,知己知彼",https://www.bilibili.com/video/BV1HsDuBREXa
bilibili,BV1VHXeBDExi,前功尽弃！【率土之滨】私服还没开就胎死腹中？细说官服逆天操作,钱中庭xian,1188577840,2026-04-15,1233,8,36,0,3,0,0,2026-03-31,"学生作品,短片,原创",https://www.bilibili.com/video/BV1VHXeBDExi
bilibili,BV1HxyDYPEfN,率土2真的要来了，对标全面战争？,还是二师兄_,34559031,2026-04-15,28574,176,86,0,42,0,9,2024-10-25,"率土之滨,全面战争,策略游戏,三国",https://www.bilibili.com/video/BV1HxyDYPEfN
bilibili,BV1YdQgBjEpP,抽卡库存来咯#率土之滨 #率土高校星推计划  #率土星推计划 #率批同盟故事会,率土阿洛,489362876,2026-04-15,71,1,0,0,0,0,0,2026-04-14,"率土之滨,抽卡",https://www.bilibili.com/video/BV1YdQgBjEpP
bilibili,BV16AQGB8Eqj,人间自有真情在，老将军礼虽轻但情意重，油虽“贱”，但千金难得#率土之滨 #率土星推计划 #率批同盟故事会 #率批同盟图鉴,难逃格调,3690985877932864,2026-04-15,29,0,0,0,0,0,0,2026-04-14,"率批同盟图鉴,率批同盟故事会,率土星推计划,率土之滨",https://www.bilibili.com/video/BV16AQGB8Eqj
bilibili,BV1bKQiB1Et3,666极限这一块#率土之滨 #率土星推计划 #率批同盟故事会,率土八十哥,3706942795024719,2026-04-15,60,4,0,0,0,0,0,2026-04-14,"率土之滨,故事会,神仙",https://www.bilibili.com/video/BV1bKQiB1Et3
bilibili,BV1non1zeEFP,率土之滨-现版本各式开荒选择和扩展思路,率土之滨反日,351146869,2026-04-15,39724,208,150,0,128,0,68,2025-09-30,"率土之滨,法拉利,率土之滨反日,百战无怯,游戏攻略,大月乐,率土星推计划,直播切片,各式开荒",https://www.bilibili.com/video/BV1non1zeEFP
bilibili,BV1S9QbB8EbT,队伍克制就是这么神奇。庞统刘备司马懿#率土之滨 #率土星推计划 #率批同盟故事会,鬼才配将专业开荒,2059555717,2026-04-15,557,7,2,0,0,0,0,2026-04-13,"率土之滨,刘备,三国",https://www.bilibili.com/video/BV1S9QbB8EbT
bilibili,BV1hDQ4B9ET8,率土萌新日常开荒，看看我抽到了谁,桃夭yyao,399803050,2026-04-15,138,5,8,0,0,0,0,2026-04-13,"三国,率批同盟故事会,率土星推计划,率土之滨",https://www.bilibili.com/video/BV1hDQ4B9ET8
bilibili,BV1rfQ3BAEmW,【三国望神州】大乔云评测：这集女角色，下集还是,白熊战棋指挥部,395494444,2026-04-15,984,33,9,0,2,0,2,2026-04-14,"2025最受期待三国游戏,三国望神州攻略,三国望神州手游,三国望神州,战棋手游,战棋游戏,老三国,大乔,三国,三国演义",https://www.bilibili.com/video/BV1rfQ3BAEmW
bilibili,BV1UjQbBREvH,三国花 最新一期 4.13,枫林晚--_,440474969,2026-04-15,73187,2139,85,0,196,0,243,2026-04-13,"整蛊,三国花,惩罚",https://www.bilibili.com/video/BV1UjQbBREvH
