platform,video_id,title,author,author_id,snapshot_date,view_count,like_count,comment_count,share_count,favorite_count,coin_count,danmaku_count,publish_date,tags,url
bilibili,BV1Z8411A74n,棒球运动员为何要刺杀海森堡？【小约翰】,小约翰可汗,23947287,2026-04-17,6087242,352022,5367,0,51259,-1,29848,2023-01-22,"棒球,策略游戏,美国,三国志战略版,海森堡,历史,历史人文档案馆,世界史,社科人文分享官·第二期,运动员,手机游戏",https://www.bilibili.com/video/BV1Z8411A74n
bilibili,BV1KWwrexEFs,非洲三国志：三英战吕布,顶级求生专家-董2,3461579439868019,2026-04-17,1016519,64646,426,0,41059,-1,466,2025-01-19,"非洲,三国志,2024“笑”园派对,在剪一种很新的东西,三国志战略版,三国",https://www.bilibili.com/video/BV1KWwrexEFs
bilibili,BV1ZjrYYvEyU,【94版&quot;刘备&quot;开口泪目】跨越5城重走蜀道，揭秘定军山之战真相【三国志战略版】,新华社,473837611,2026-04-17,3647599,252590,5654,0,39349,-1,5920,2025-01-08,"手机游戏,新华社,定军山之战,汉中之战,游戏",https://www.bilibili.com/video/BV1ZjrYYvEyU
bilibili,BV1YG4y1w7XQ,我爆炸啦！！！,老番茄,546195,2026-04-17,4955851,360800,3495,0,37098,-1,12286,2023-01-20,"策略游戏,手机游戏,循环,搞笑,沙雕,推荐宝藏游戏,穿越,娱乐,三国志战略版,三国手游",https://www.bilibili.com/video/BV1YG4y1w7XQ
bilibili,BV1eV411X74D,【显微镜下的三国03】一夜古法筑万人冰城？“东汉基建狂魔”曹操给我们上了一课…三国志战略版,阿志-三国志战略版,454802537,2026-04-17,4383661,184691,2087,0,31736,-1,3896,2024-01-17,"挑战,古法,三战冰雪战场好玩吗,三国志战略版,三国志战略版潼关之战,古法挑战曹操一夜筑冰城,冰城,潼关之战",https://www.bilibili.com/video/BV1eV411X74D
bilibili,BV1NC4y1m7Pv,倾盆大雨中背诵《出师表》，我明白丞相的遗憾了,有山先生,28626598,2026-04-17,2022245,95137,2268,0,16668,-1,6994,2023-11-15,"三国,万物研究所,诸葛亮,出师表,历史,三国志·战略版,课文,龙虎争霸赛,人文,万物研究所·第11期,北伐",https://www.bilibili.com/video/BV1NC4y1m7Pv
bilibili,BV1CM411b7wQ,【显微镜下的三国02】一封以命送出的血书，竟改写了关羽命运？| 夏磊刘照坤献声，《川流：驿人》揭开历史阴影下的细节,阿志-三国志战略版,454802537,2026-04-17,3140505,95818,5736,0,16622,-1,4392,2023-01-13,"夏磊,三国志战略版",https://www.bilibili.com/video/BV1CM411b7wQ
bilibili,BV1jQwyzVEes,bro生错了时代,一只大哈鱼,624757844,2026-04-17,1560183,66556,1059,0,15888,-1,531,2026-03-19,"三国志战略版,沙雕,第三次世界大战,搞笑,吐槽",https://www.bilibili.com/video/BV1jQwyzVEes
bilibili,BV17WZNBsEyS,bro觉得自己找到了完美女友,一只大哈鱼,624757844,2026-04-17,3019060,104632,2031,0,14882,-1,1688,2026-02-16,"三国志战略版,第三次世界大战,网恋,整蛊,搞笑,吐槽",https://www.bilibili.com/video/BV17WZNBsEyS
bilibili,BV1fe411J7RX,零下15℃，马超粉丝裸衣骂曹操,有山先生,28626598,2026-04-17,1346311,119921,1430,0,14855,-1,4106,2024-01-19,"三国志战略版,潼关之战,挑战,三国,檄文,曹操,马超,娄圭,一夜筑冰城",https://www.bilibili.com/video/BV1fe411J7RX
