platform,video_id,title,author,author_id,snapshot_date,view_count,like_count,comment_count,share_count,favorite_count,coin_count,danmaku_count,publish_date,tags,url
bilibili,BV1hV411j7hb,三国志战略版，满红大佬被围攻了，一人打一盟！,无敌马小超,477010534,2026-04-17,471503,3244,370,0,515,-1,334,2021-05-19,"三国志,三国志战略版,游戏知识分享官,打卡挑战",https://www.bilibili.com/video/BV1hV411j7hb
bilibili,BV1gJtjzQEhF,三国志战略版-新手篇之【现版本养号攻略】-带你少踩一些坑~-三战,心远攻略组,424022748,2026-04-17,77247,962,159,0,548,-1,60,2025-08-05,"心远攻略组,新手,三国志战略版,账号养成,教程攻略,分享游戏故事,攻略,少踩坑",https://www.bilibili.com/video/BV1gJtjzQEhF
bilibili,,三国志战略版·高效收战功,黄歪歪本歪,436339767,2026-04-17,67867,0,0,0,0,-1,0,,,https://www.bilibili.com/video/
bilibili,BV1gAdBBcEDS,汉弓强度为何逆天,狗哥在B站不想说话,31353272,2026-04-17,3490,121,70,0,4,-1,6,2026-04-17,"三战创作者计划,三国志战略版",https://www.bilibili.com/video/BV1gAdBBcEDS
bilibili,BV11wQEBsEqo,赵云，一怒之下，怒了一下...为何要鞭尸？,Bling冰糖葫芦,1066336931,2026-04-17,6137,118,75,0,5,-1,51,2026-04-15,"手游情报,游戏解说,赵云,三战武将长青,三战创作者计划,必剪创作,三国志战略版攻略,三国志战略版,三国slg,教程攻略",https://www.bilibili.com/video/BV11wQEBsEqo
bilibili,BV1XzdBBvE85,顶级账号欣赏第一期，来感受下大佬的强大和全面！《三国志战略版》,潘凤帮郭奉孝,472253284,2026-04-17,1379,12,4,0,2,-1,1,2026-04-17,"手游情报,游戏杂谈,顶级账号欣赏,三战创作者计划,三国志战略版,教程攻略,账号",https://www.bilibili.com/video/BV1XzdBBvE85
bilibili,BV17UdqB6ECQ,内政武将进典藏不给取消怎么办,狗哥在B站不想说话,31353272,2026-04-17,3179,91,108,0,4,-1,8,2026-04-17,"三战创作者计划,三国志战略版",https://www.bilibili.com/video/BV17UdqB6ECQ
bilibili,BV16fQuBsEbJ,4.15版本更新，赵云巨大加强，这强度S赛季直接封神！,三国志司马老贼,317601282,2026-04-17,16975,216,211,0,12,-1,40,2026-04-14,"手游情报,武将长青计划,三国志战略版攻略,三国志战略版,策略游戏,赵云,MOBA,三国游戏",https://www.bilibili.com/video/BV16fQuBsEbJ
bilibili,BV1ww4m1e7bg,还记得你第一次玩三国志战略版吗？,穿山甲来咯,1038890617,2026-04-17,59889,712,310,0,154,-1,218,2024-06-25,"三国志战略版,三战创作者计划,三国志战略版一亿战略家庆典",https://www.bilibili.com/video/BV1ww4m1e7bg
bilibili,BV13S4y167ez,新手开荒奥义攻略，包教包会【三国志战略版-有啥配啥打天下】07,阿志-三国志战略版,454802537,2026-04-17,628112,7778,479,0,1280,-1,409,2022-02-28,"策略,有啥配啥打天下,军师云集大神上台,游戏,手机游戏,游戏知识分享官,攻略,三国志战略版",https://www.bilibili.com/video/BV13S4y167ez
bilibili,BV1Y4QjB8Ejv,赵云强度嘲讽式提升,狗哥在B站不想说话,31353272,2026-04-17,15296,571,407,0,47,-1,53,2026-04-15,三国志战略版,https://www.bilibili.com/video/BV1Y4QjB8Ejv
bilibili,BV1qAAAzfENp,三大幻神战法革新，九州兵兴强队崛起！,三战汪一,1507928015,2026-04-17,7569,133,48,0,53,-1,28,2026-03-21,"原创,新剧本九州兵兴,三国志战略版,教程攻略,爆料",https://www.bilibili.com/video/BV1qAAAzfENp
bilibili,BV1SudbBNEpP,【W11开荒攻略】必看！5分钟掌握陈仓之围全部开荒玩法！还有隐藏的15块9级地！,春虫虫玩三谋,396559590,2026-04-17,3950,94,24,0,54,-1,2,2026-04-16,"直播,三国：谋定天下,W11,三国志战略版,教程攻略,三国志,攻略",https://www.bilibili.com/video/BV1SudbBNEpP
bilibili,BV1eZdtBkErB,赵云的加强：很多人没说到点子上！,黄歪歪本歪,436339767,2026-04-17,5359,106,163,0,26,-1,96,2026-04-16,"三国志,赵云,三战武将长青,三国志战略版,配将,教程攻略",https://www.bilibili.com/video/BV1eZdtBkErB
bilibili,BV1f6QJB7E43,赵云更新背后的大雷,三战丨山君,3546895488125463,2026-04-17,2093,48,37,0,2,-1,7,2026-04-16,"三国志战略版攻略,三国志战略版,MOBA,三国,赵云",https://www.bilibili.com/video/BV1f6QJB7E43
