platform,video_id,comment_id,author,author_id,content,like_count,reply_count,publish_time,ip_location,sentiment,mentioned_games
youtube,Iszhbl0I9fI,Ugw0cJ6kKde4szNCqiJ4AaABAg,@elvisyang5499,UCEEoB0HvNCOZA4Bl5dikXtw,"美國用天啟四騎士引喻，真讓人笑死。
去年中美在上海談判，中國用詩;
「雲來山更佳，雲去山如畫，山因雲晦明，雲共山高下。」 來引喻那才是高端，兩國操作細膩度簡直是天壤之別。",74,0,5 years ago,,,
youtube,Iszhbl0I9fI,UgxzlA2QmvB7M438qUp4AaABAg,@Alonebe,UC8AuSiobWgihUoxijvDBY1g,"瘟疫骑士已经在美国大放光芒了, 还差三个, 不急",105,0,5 years ago,,,
youtube,Iszhbl0I9fI,UgwLYMF1oxvpHUo2Nsp4AaABAg,@keithzz219,UCW6P3NdYjPgWDNQNy40j9iQ,什么四骑士，直接叫四害不就得了？灭四害这个工作我们熟,64,0,5 years ago,,,
youtube,Iszhbl0I9fI,UgyZnOFDrvfvrtUjbq94AaABAg,@wangtom290,UCNPtd5_9J-pTF9O8uie23hw,在ross的陪襯下，參與節目的所有人，又睿智了許多。恩想到用這麽個二貨活躍一下節目氣氛，也真服了岑永康。,0,0,5 years ago,,,
youtube,Iszhbl0I9fI,UgwbGYY4XK6L6YY_4Ox4AaABAg,@本田圭佑是条反中无毛,UCMCy213QeusOkmQVDBIiLoA,冻结中共高官海外财产？老百姓做梦都会笑醒吧😂,74,0,5 years ago,,,
youtube,Iszhbl0I9fI,UgxP8mI2OJqigYLotLV4AaABAg,@boyuanniu9121,UCZ4UZZk2hIuFV5g5APoTsrg,这个主持人功力挺好，看争议起来的时候马上把话题拉回去，避免不和谐讨论,32,0,5 years ago,,,
youtube,Iszhbl0I9fI,UgwTqy-7EiYz0h9fXNJ4AaABAg,@truthonly2986,UCbeAAqUWsRBSi1Asi0AKgUA,有赖老师，就比较精彩，观点的碰撞，老美的嘉宾也有他的立场他的观点,5,0,5 years ago,,,
youtube,Iszhbl0I9fI,UgxFrv3MvLihflySGAd4AaABAg,@anan5848,UCEbWjah_3ufKujGG8VKV7Qw,支持👏👏👏,0,0,5 years ago,,,
youtube,Iszhbl0I9fI,Ugy2ysyFoQ3iKGpF7314AaABAg,@shawhwachong363,UCiRU3MHIlKCrF1fac9--lvA,It takes two to tango. Today's Syria is tomorrow's Taiwan!,54,0,5 years ago,,,
youtube,Iszhbl0I9fI,Ugwr0GfBrup_Y7CDk8N4AaABAg,@wansangtaiw84,UCEkeCbuDXqvWDihWW2E47JQ,主持人永康，高水平主持，👍👍💪💪,4,0,5 years ago,,,
youtube,Iszhbl0I9fI,Ugyzxzal2H2rN6dazyh4AaABAg,@ninghuali7631,UCgv_g3h9LdqrIgsABHkzyjQ,赖先生做为中国人 太棒了🌟,7,0,5 years ago,,,
youtube,Iszhbl0I9fI,UgxDSpDzXZtZdkxD1h14AaABAg,@baiyun7810,UC4ZaViab9McTpJPEzgqCkvg,主持人太赞了！佩服，机智幽默！👍,1,0,5 years ago,,,
