platform,video_id,comment_id,author,author_id,content,like_count,reply_count,publish_time,ip_location,sentiment,mentioned_games
youtube,2-PMKXu01Ag,UgyuALIah05xtphUjTB4AaABAg,@moonstruck3454,UCbWTYMB6aZa480o8Afai_nA,"My first time watching a movie without sub title. The starting was so so, I might have dropped it, but the movie was really mind blowing. The expressions were so good and the male lead was so hypnotic, really surpassed all my expectations!",8,0,3 years ago,,,
youtube,2-PMKXu01Ag,UgxhL3E-OzHCaXnCDqx4AaABAg,@李美-l7h,UC4Uvpj5-CbWA8IfUaq200dA,这个羽人带着初七飞的那段太帅了，好喜欢呀,18,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgwVVB8GkWETp2iuRGR4AaABAg,@abidasultana9778,UCK0iS-hCKsFOsuuIYTA9YqA,"Why don't you give eng sub?
It's really sad for our international fan😭😭😭😭😭😭😭😭😭😭",26,0,4 years ago,,,
youtube,2-PMKXu01Ag,Ugz21gm9wQxD4_PiTYJ4AaABAg,@linma6505,UCkWpHqpi6Ovtsm9WAzVLWcw,This is a very beautiful and touching film . Thank you for uploading and sharing . It is awesome !,7,0,4 years ago,,,
youtube,2-PMKXu01Ag,Ugx2udk6W1zPXQ_q5e14AaABAg,@allenlaw1516,UCfjjRuZ9VEfOsgOmbKOC8dA,好感人肺腑的故事喲！演員們演繹得好出色！多謝分享🙏🏼🙏🏼🙏🏼👍🏼👍🏼👍🏼好戲！👏🏼👏🏼👏🏼,1,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgyQ2zrkGK7-InHMABh4AaABAg,@蓮-w5i,UC1YjuW2tsh9Ae21iJ5XwAqg,羽翼鳥，影片故事，精彩塲面，九世烟缘！畫面新鲜。这段奇妙遇情，考驗真誠！变幻瑰丽飛翔演员，觀眾喜訊。,0,0,3 years ago,,,
youtube,2-PMKXu01Ag,UgyfqECK3LyW4lel6pJ4AaABAg,@vaishnavik.r3165,UC7Gtt2Hvc5ZypDXpa6g9UlQ,I really like this movie it's so beautiful movie to understand it's my first Chinese movie I visited  I am Indian🇮🇳,5,0,4 years ago,,,
youtube,2-PMKXu01Ag,Ugwf0_6vPcbQcz44skh4AaABAg,@lizhang5948,UCDvicSmoVCdnOuH2f6-lh9A,感动到我都哭了,10,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgxwbMJ5ixFiKvXudaF4AaABAg,@紫茵-d6r,UCZRG3w5-4X7yiJ4xQY9tggQ,看到後面真的淚流不止😭,5,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgwPBslpDJOb22tM7q54AaABAg,@kozmickhandi9951,UCqIFZ7MWlER3Qv68-KC5UNw,Thank you  truly appreciate the up load  so worth staying up late for  even though It wasn’t subtitled ❤️❤️❤️❤️❤️,5,0,4 years ago (edited),,,
youtube,2-PMKXu01Ag,UgxpE9877EilG3ggr1V4AaABAg,@babytannie1449,UCXGDMQTgFpVX1VurVDpzY2w,It's so interesting. I wish it has English subtitles.,5,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgwPGnwPiCdFLPNORHZ4AaABAg,@honmunchong726,UCxRf943Usmj6VVHM-3sJ6uQ,男女主的颜值演技在线，剧情很棒，有深度，看完沉默了，留下许多人生义意和哲理思考的空间，当中有老莊名句，有高度，又蕴含佛家求不得，爱别离的甜酸苦味，似牛郎织女，又比梁祝七世更悲情，最后萝醒一场空。,8,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgyBAO5nGI8SNq3SAcB4AaABAg,@nursyahirah9231,UC_WWXcTi2IsutooDKw7TJTw,I cried so hard 😭😭😭 it's so touching and I can feel the pain too😞 and I'm happy they still together to the end😍,1,0,4 years ago,,,
youtube,2-PMKXu01Ag,Ugxlu5Xo4TQQvfGx7MV4AaABAg,@joeyverona7727,UCbaGZqdwuOHSglNo_dIcmdQ,Nice story love..I love 💕 in story love chinese drama.,1,0,4 years ago,,,
youtube,2-PMKXu01Ag,Ugz9Dg3lyX8N3_dsHIZ4AaABAg,@natchareeyasaesong3898,UCpRTziMoPoC1ZBscgjkjv6w,为何要燃我流泪呢😭😭,7,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgwRtbNrqBol938IhpB4AaABAg,@libecky6929,UCh6cs2ltBhiQ3Y9m6KIGbWw,好细腻，喜欢💕！,2,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgxS7N5D1YTdfcIlY5h4AaABAg,@jayshredas2959,UCuqhV7RHfuEdX2hFCds4VQw,Nice movie mind blowing ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ love soooooooooo much,0,0,3 years ago,,,
youtube,2-PMKXu01Ag,UgysZEBLOhM7FPMubUZ4AaABAg,@allenlaw1516,UCfjjRuZ9VEfOsgOmbKOC8dA,意想不到的感人故事，經歷九世輪迴愛而不可得的情刼，仍然不放棄的愛，加上演員精湛演技，看了三遍還是讓我淚汪汪的，男主憂鬱，女主調皮帶點傻氣，好看极了👏🏼👏🏼👏🏼❤️❤️多謝上載分享🙏🏼🙏🏼🙏🏼,4,0,4 years ago (edited),,,
youtube,2-PMKXu01Ag,UgyQC4MAHZYWqaQzhKl4AaABAg,@josiahjames4463,UCeXmybqfrQAKzUj4eWWwDaA,i LOVE it,0,0,3 years ago,,,
youtube,2-PMKXu01Ag,UgxpTgPpuw6JsAOyEuN4AaABAg,@ching0218,UCugoHojkcRLkG1s0l50hP2A,好看，感人,2,0,4 years ago,,,
youtube,2-PMKXu01Ag,Ugx9GjyKk02mN9n6m_l4AaABAg,@iii-pn1gh,UCT7bUktUcZepEybB3K_Cgbg,好感動啊～,4,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgxyLZoa-3eQeDdvN_Z4AaABAg,@黃遠芬,UCiSkGqSaGram5MDIThm4qZQ,超超超級好看，感動，虐心,2,0,4 years ago,,,
youtube,2-PMKXu01Ag,Ugwq7lszq43tAeV09GV4AaABAg,@yakario5672,UCKjkZGuV9bmHj4iriNvGq1g,I can't understand but I love it 😝 from srilanka,12,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgzTIV7yo-dp07kcP9B4AaABAg,@a0970984225,UCICjVKcaElHlOhizS0inPBA,太好看嘍～男主角帥，女主角美極啦～,10,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgyIIYZHVX8hUrrFmfB4AaABAg,@christianvlog685,UCVp0dxTQ5Wd3GaHGu0xPlSQ,English subtitles please so nice and romantic,6,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgxatGvzCGECfKBj5ER4AaABAg,@mshwa0912,UCZO43ps3ZApoW-EWdmADytA,這片👍,0,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgzwwtzBNuHA9-xfdXR4AaABAg,@frieyavida4523,UCoz-XGRaemQoSVRsNMKDz-Q,"I was so touch of this movie even though I don't understand it and it's remind me of ""The Ashes of Love""",3,0,4 years ago,,,
youtube,2-PMKXu01Ag,Ugxf9XCwn-JK_6gFdvN4AaABAg,@nippaelhajj7378,UC3HAIah4lP_yBypqBZzxSnQ,nice movie,0,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgxdirVAyg1FV7uY25B4AaABAg,@段雨诺-o7k,UCXMlq_jdKYiP6mkP3aXv11g,不错的电影,6,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgwC9ASTBmaaVWI-GYF4AaABAg,@xiaomeidu8844,UCb5TTsl-z3Zm-rNxoYFQFsg,画风感觉都不错，没想到还有这样的好电影,1,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgxmpTtPnryn3S_oYjh4AaABAg,@duldaysi8276,UC7p09ipRtPoNP6GHN0QlI5Q,Aunque no entendí lo que decía solo vi como ellos sufrían 😭😭😭😭😭😭 me encantó 😥,12,0,4 years ago,,,
youtube,2-PMKXu01Ag,Ugzfh7kfW4lo9Qgo1YJ4AaABAg,@小玲-y1c,UCG8sHUvjB5SpB4z-pwvNvWg,真的好看,0,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgzqF4qTUfYLH2QsgJx4AaABAg,@ttfei7362,UCNJNA2DUnbLZo8goSIwJVSQ,好看，但好難過😭😭😭,10,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgwzenBnSgfGxv3H0cp4AaABAg,@danielacalvino6713,UC-w6X5y041Nm-Pb36oFHiTg,Excelent muvie.,0,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgzevKlIcFV3SbM62_54AaABAg,@suryanikartam6428,UC02kd9NA6riSjlx0y7PPOBA,wow ... beautiful story 😭 Thank you for share.,6,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgyH8su7bJ__Vkppd7h4AaABAg,@emilypanes5007,UCO4CSfhBDzWTYS7M_5YrICQ,I love this movie even no subtitle,0,0,4 years ago,,,
youtube,2-PMKXu01Ag,Ugx7gRfpLo5xrhrNzNJ4AaABAg,@ada8732,UCEhvTJR1jTNMTwK_kvq7xRA,好感人,1,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgwFrNt3c9PdVzpI3cN4AaABAg,@marciabertrand5547,UCv6yeAWAZpPX0BKutdLCiww,Need subtitles.  Beautiful movie.,2,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgxyGRMD67DHT1VAGpV4AaABAg,@chibakutenseichibakutensei2668,UCxXCRjzJsdff5s768VU3F-w,Love this film..,2,0,4 years ago,,,
youtube,2-PMKXu01Ag,Ugz9_aNJ1gyHlxjTaZp4AaABAg,@aureatujelida7643,UCTjerBJyGGpfpTOxPD9m6EQ,i like it very much fantasy and drama😔😔😢😢,0,0,4 years ago,,,
youtube,2-PMKXu01Ag,Ugx_M2xcKCy_M4ICjgF4AaABAg,@just-very-little,UCzuz_JqugwXeEVB1T5Q7Cow,挺好看，可惜姐姐已经是当妈妈的人了，也经历过年少轻狂，也曾爱的死去活来，虽然相信有爱情，不过这样九生九世刻骨铭心的爱情也就只能当周庄梦蝴蝶一样，当一个故事看看，现实生活要面对的太多，会磨损很多东西，尤其人类社会，太多无奈和不得已，就算抛开这一切人世间的繁琐，能否遇见自己这样深爱的人，对方是不是也会刚好这样深爱你，然后相守一生，感情不变，这都是可遇而不可求的，不过无论如何吧，还是祝愿有情人终成眷属，还是感谢这些制作电影的人，得不到，看一下也可以过瘾🤣🤣🤣🤣🤣,15,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgxqfOTlFm_SoZVzqj14AaABAg,@陳信宏-n3g,UC_7khpZz0gHmw5iIlmpxZWg,女主好可愛甜美啊～,9,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgyP2uOuhuL_sulOp-l4AaABAg,@bai-guei-yue-yong_1997,UCtJYjeHRmCvOa95w8OBSwuA,有暖暖的與子成說耶～OWO,3,0,4 years ago,,,
youtube,2-PMKXu01Ag,UgxQe82UhsEqxNIw1_N4AaABAg,@josenildepinheiropenhapinh2043,UCViZjoqu9_jI8CzGgGn8jag,Maravilhoso gostei muito!ñ  foi logo mas todos trabalharam com  excelência,2,0,4 years ago,,,
