platform,video_id,comment_id,author,author_id,content,like_count,reply_count,publish_time,ip_location,sentiment,mentioned_games
youtube,CEkwIr1eNNA,UgyRhTXWhoImy7vOScd4AaABAg,@KOUMEI_NO_WANADA,UC69VfM-E6WcOX_VDNnEDc6A,偶然かどうかは分かりませんが、以前こちらのチャンネルで「三国志」が取り上げられた際、そのタイミングでウチのチャンネルが伸びたこともあり、なんか勝手にめちゃくちゃ感謝してます（笑）,468,0,11 months ago (edited),,,
youtube,CEkwIr1eNNA,UgxIdg_lp_sQm5NzRA94AaABAg,@たぬきごんべい,UC3Utu7DFCPyMl6eqmi7ZjTw,横山光輝三国志に一時期ハマっていて、最後どうなっていたのかあやふやでしたがこの授業を見て結末まで一気見出来てすごくスッキリ！ありがとうございます。,26,0,11 months ago,,,
youtube,CEkwIr1eNNA,Ugw7AMAlnMQI0IK7UGZ4AaABAg,@us_1951,UCmhCre0WGDUSd8I39VGVL0A,"演義三国志を読んで、書かれた吉川英治さんの三国志を昔読みました。大変勉強になり、素晴らしかったです。
あっちゃんの三国志も大変勉強になりました。そして、面白かったです。良かったです。
あっちゃんありがとうございました🎉",8,0,11 months ago,,,
youtube,CEkwIr1eNNA,Ugy2IxrlafMOBMuIit14AaABAg,@金澤華,UCdRL_EhLtKAOVdErWhHZKEQ,"長い歴史の中では三国志の時代は一瞬の出来事であり、
後漢末から続く大乱世も、
さらなる大乱世(五胡十六国〜南北朝時代)への呼び水という。
三国志の当事者達が実は『勝者』ではないビターエンドなのも魅力の一つ。",8,0,11 months ago,,,
youtube,CEkwIr1eNNA,UgwTr8N7m-v_3wC0jqp4AaABAg,@レミン_Fantasia_of_Remin,UClM940Af-zEu8E2UgwoJRPA,一気に見ちゃいました、やっぱり、とんでもない芸人さんだったんだと実感しました。,7,0,11 months ago,,,
youtube,CEkwIr1eNNA,Ugy4o0vXi3c-HtQ5H0R4AaABAg,@前田薬師寺鬼塚葛西,UCT7b6nGvsElKqVIHEf4sopQ,ざっくりとはいえ、一気に三国志の全容を説明するって凄いなぁ。聞き入ってしまいました！,2,0,7 months ago,,,
youtube,CEkwIr1eNNA,Ugy-SsBRj4_xuMBqQVx4AaABAg,@biege-io6oz,UC8YV7Sn9WHReJrY80z6bvhA,"めちゃめちゃ面白かった！！
初めて観ました。
三国志ずーーーーっと気になってたけど手付かずだった私には突然面白い本をプレゼントされた気持ちでした。
あっちゃんありがとう！",7,0,11 months ago,,,
youtube,CEkwIr1eNNA,UgzLPw010_wcvx1Pyb94AaABAg,@k3nK3N-d4i,UC4WWY0DD6YBkTIUgHzyGDsQ,芸人さんって喋りの天才だなわかりやすい,5,0,11 months ago,,,
youtube,CEkwIr1eNNA,Ugx7B_iIRDJPyPqSSqh4AaABAg,@TY-mr9tb,UC7P9vp0jrmZ4BkB7xp_sLyA,"三国志好きになったきっかけの動画。
めちゃくちゃ面白かった、この授業を見て本まで読み始めました✨",44,0,11 months ago,,,
youtube,CEkwIr1eNNA,Ugzm-xPzjMFh2Snr4i94AaABAg,@kodamanbo,UCugebx4QuSYqXk8d8Rvgz9w,えーっ‼️3年前の動画だと思った。この感じ、うれぴー❣️,9,0,11 months ago,,,
youtube,CEkwIr1eNNA,UgyU5NBD1V62YwcEycR4AaABAg,@Nippon74Matsu,UCa_XdqUm_sVWrgqLiMSwC9Q,行くよ，面白いよ。懐かしいフレーズ。こういう授業をもっとupして欲しいです 11:59,6,0,10 months ago,,,
youtube,CEkwIr1eNNA,Ugxgk-YEq1S6F2_W26x4AaABAg,@ぴーちゃん-p3x,UCc0uGLMD9eQ_Zoah-KQl_Ew,息切れも間もない熱演で感動しました お疲れ様でした でもやっぱり人多すぎて難しですね,4,0,2 months ago,,,
youtube,CEkwIr1eNNA,UgzrLuz0J6g97eG65eF4AaABAg,@ゆきりんごSRC,UCSgnTMdXUxo50xXx761Ly5Q,"改めて観て面白かった〜👏
劉備が気のいいあんちゃん😆　
あっちゃんの一人芝居大好き🥰",6,0,11 months ago (edited),,,
youtube,CEkwIr1eNNA,UgxLBeqWKhfH5uro-dN4AaABAg,@taktak2400,UCsUcM8MFstLa9qhDhhinWKQ,若々しくてかっこいいあっちゃん,6,0,11 months ago,,,
youtube,CEkwIr1eNNA,UgxdL4BiRE8ban9SiLR4AaABAg,@nuranishi-c7q,UCpVQqgTmkOroTTTwhsbGd7Q,"ありがとうございます🙏
再アップ嬉しい〜〜❤🎉",7,0,11 months ago,,,
youtube,CEkwIr1eNNA,Ugw4LJ-Ax8M-ybGTmPV4AaABAg,@江戸華,UCiHWDuClFJXQQhiGy2LuoLQ,待ってました！,12,0,11 months ago,,,
