platform,video_id,comment_id,author,author_id,content,like_count,reply_count,publish_time,ip_location,sentiment,mentioned_games
youtube,U1gLfDWbX9Y,UgwBma5Z6rvseYT5GTp4AaABAg,@jbananaD,UCwBLeqDfgjTKckJwaoBtzCw,哎呀老孙我因为周四看到你的视频，当晚就去steam上6.99买来玩.结果当天就通了个宵，一个周末游戏时长40多小时…我真是谢谢你啊😂😂😂这游戏真是太费时间了,10,0,3 years ago (edited),,,
youtube,U1gLfDWbX9Y,UgxsgEldOAqa4QsW5iN4AaABAg,@我是徐銘鴻,UCL5CnBuEeg9uNTeq08tbjIw,孔明：我建議1人兵分10000路,330,0,3 years ago,,,
youtube,U1gLfDWbX9Y,Ugw_dlJpe727j9xiPHF4AaABAg,@carolx7730,UCWFoSseIoQxi_S36F_UDYFg,小时候最先接触的游戏就是这款了，又经典又好玩，印象比较深刻的是能触发几个历史事件，cg挺好看的😂,12,0,3 years ago,,,
youtube,U1gLfDWbX9Y,UgyvOPddoWtcNVusYnd4AaABAg,@萝莉的后宫,UCD16aQH6F20ZHzMUVkn2b_w,"开局不管其他的，都应该把东北的卑弥呼打下来，不然到了前中期就打不过了，确切说是打不过卑弥呼的女王了。
式神召唤+四圣召唤，然后随便带点藤甲兵，全地图都可以无脑平推，暴打一切秘境。",3,0,3 years ago,,,
youtube,U1gLfDWbX9Y,Ugy8TW9udLVG52BRpBJ4AaABAg,@種族蜘蛛職業LA牙賢者,UCr-ErvT-V3g4API4qSmjiog,背景音樂是空之軌跡。,2,0,3 years ago,,,
youtube,U1gLfDWbX9Y,Ugyputir4FrX77gJOIN4AaABAg,@vftyhsx,UC7pnDYZw5qhUsUXnTH_VhEw,唉，好怀念啊，过去的好时光再也回不去了，照着镜子看着不再年轻的自己，真心感觉时间过的太快了。,30,0,3 years ago,,,
youtube,U1gLfDWbX9Y,UgxLMmoV18JwftxM8cx4AaABAg,@林老弟-m5f,UCj7PsTx9ihFxIhj0-N9WC3w,看到結尾才知道老孫為什麼不想打完⋯⋯敵人根本渦蟲,8,0,3 years ago,,,
youtube,U1gLfDWbX9Y,UgwT_QGE3sYS3yHw4uZ4AaABAg,@gundamw3490,UCYiuEQfSrbluaNXeNHgskfA,"三國群英 系列
跟
SS 神作 聖龍戰紀
絕對是必玩 sLG 神作",3,0,3 years ago,,,
youtube,U1gLfDWbX9Y,Ugy5E0rANGPpX5IKk9d4AaABAg,@MUYPHY123,UCpnx0BQ-iqGRiXDJebGuX-A,士徽：要不是他有掛，搞不好我能苟到圖書館員在天安門上演講呢！,1,0,3 years ago,,,
youtube,U1gLfDWbX9Y,UgzEYzmHPSb7Bb576ft4AaABAg,@qssee16,UCJHPf8yoBnxZrN-uAuxBBDg,我的天 貓咪也太可愛了八,1,0,3 years ago,,,
youtube,U1gLfDWbX9Y,UgzqUGrQlholrBW9HC54AaABAg,@YOSIYOSI5497,UC4m951iNot5u3vKGeQBPLCg,群3最让我印象深刻就是生擒这个技能～～单挑满血吕布都要一下倒地～,2,0,3 years ago,,,
youtube,U1gLfDWbX9Y,UgyYdFM4_X56KxLE-HR4AaABAg,@JinsokuLu,UCOSgkBpMtnRiCK42CvxzdCQ,以前自創武將很喜歡創蔣中正 何應欽 孫立人之類的 然後從夷州打回去 《三國群英傳》硬是被我玩成了《民國無雙》,1,0,2 years ago,,,
youtube,U1gLfDWbX9Y,UgyH9wMNuL2Mp8JqRlV4AaABAg,@cmf1005,UCgzI4Q-s8kx5qHo4Z7Ww1ag,WOW 小時候的回憶😄,0,0,3 years ago,,,
