platform,video_id,comment_id,author,author_id,content,like_count,reply_count,publish_time,ip_location,sentiment,mentioned_games
youtube,9XalPdfYFo4,Ugy588XUnHsQ2dtrWWJ4AaABAg,@peiyi.1024,UCDXkorNk4CaY8jTqsYBM2yQ,五週年快樂 !! :face-red-heart-shape:,3,0,2 months ago,,,
youtube,9XalPdfYFo4,UgxlkW4mCCw9f33rFit4AaABAg,@keithy7275,UCR9bBOXDBTopVYtNSLmsKJA,這首歌，正👍,1,0,2 months ago,,,
youtube,9XalPdfYFo4,Ugxy3oNeU0UK6Jvc9-F4AaABAg,@-702gaming9,UCCqVSNyI3xwJLxa2YiPTu8Q,有料,5,0,3 months ago,,,
youtube,9XalPdfYFo4,UgyskXlt9Olv1Hj0Q2F4AaABAg,@todozo,UCo3-foush1kR1g6POyEVJTw,有A-Lin 就給讚!! 這首歌唱的真燃!!,4,0,3 months ago,,,
youtube,9XalPdfYFo4,Ugzi7tfYOfXMNjUu9x14AaABAg,@KuoHaoHsu0922,UCihMYFTzkJLJT5AYalHm6eg,有A-Lin 給讚!!,4,0,3 months ago,,,
youtube,9XalPdfYFo4,UgzA-pgGpbvpLpflXTB4AaABAg,@羿隻貓,UC2N5JahWeqDm9t6CXX3tE0A,播廣告聽到這首歌，很好聽❤,4,0,3 months ago,,,
youtube,9XalPdfYFo4,UgyQPW-QA_NleGaR3ZJ4AaABAg,@予誠,UCyxXqQ2mxidZSlCwQ7oaTqA,帥喔三戰:face-blue-smiling:,4,0,3 months ago,,,
youtube,9XalPdfYFo4,Ugxt_o6tdGFkF-3ofPN4AaABAg,@pollysun-,UCbLEeujMDhMVjEbptIlB3qA,"英雄三國起，河北據，西涼破萬兵。
一朝同盟破，去日苦多。
多少熱血化灰燼，亂馬血中啼。
縱山河萬程，不滅青春。

青雲難登夢中上，
當時少年意尚狂。

致，難以磨滅的，三戰歲月。",5,0,3 months ago,,,
youtube,9XalPdfYFo4,UgwRDdlEg4kLcdv3eHl4AaABAg,@阿彥-g6u,UCZqkxNaF8h93D7HH7dZYmJQ,謀攻 天下為局 雖沒三國志戰略版出名 可是主題曲謀攻天下 就真的寫得不錯,5,0,3 months ago,,,
youtube,9XalPdfYFo4,UgwXEJYGLCAEDde2Eap4AaABAg,@Alexandra03s,UCOtH_i-usYw5uuGamq_sAag,讚讚~ 副歌好聽 剪接也很流暢,6,0,3 months ago (edited),,,
