platform,video_id,comment_id,author,author_id,content,like_count,reply_count,publish_time,ip_location,sentiment,mentioned_games
youtube,OiN5f7DT1Og,UgxVQe8GG4B3pcv4ksl4AaABAg,@pwnstn52,UCaYAnYYVJWKJTpASTVIpWOg,花木蘭真人版應該找鄧紫棋才會大賣==,308,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgxDDo4o3sFJFNGr2up4AaABAg,@GloryerTW,UC6G2KW29z83CEkg__dy07Lw,"哇！這已經超越電影等級了吧！解解實在太帥了！
內心的澎湃已被覺醒，鄧將軍～我願臣服於妳啊啊啊啊啊啊啊啊～
是說，解解妳真的騎馬了嗎？🤣

更新：原來馬是木頭做的😆",207,0,5 years ago (edited),,,
youtube,OiN5f7DT1Og,UgzkkXKqxMP84dlItr94AaABAg,@bearsincere,UC9cw8QGen7dbc_2nFsyHOnw,I never thought that a weak female stream could weir a spear freely and stretched the bow with flame arrow. Deng Ziqi(G.E.M.) put on the armor to act as Mulan. It will be my glorious if I could be her warrior in the film.,10,0,4 years ago,,,
youtube,OiN5f7DT1Og,UgwRArfhvMBrHqirDbZ4AaABAg,@keithchu3655,UCRk2NeKCYdM0lPBbYAsr7lQ,"樂壇傳奇鄧紫棋。
披荊斬棘，萬國中覺醒。
百萬播放，如約而至。
奔湧之蹄未止。",140,0,5 years ago (edited),,,
youtube,OiN5f7DT1Og,Ugx0La-4wuXZcpx188l4AaABAg,@ifglkenz9570,UCdPDizGOFJ2CPHTHiJpe6Tg,"虽然是宣传游戏的主题曲mv但却没有像其他一般游戏营销一样很不得把整首mv都穿插游戏画面那么让人出戏/反感。。。
这mv就好像在讲述一个故事王国战争故事而不是一个游戏，
看了mv会让人想要找到一款同款游来体验的想法而不是以往那种一看就是“啊 这是游戏的宣传片”
视觉感官上的惊喜的做到很到位 经费上看得出来下了重本 真的了不起。",26,0,5 years ago (edited),,,
youtube,OiN5f7DT1Og,UgyEk88cTUXSG8YVr954AaABAg,@davidgan5870,UCI5W-07kYLOw9eQPrYgsOog,如果Mulan是找邓紫棋做女主角就好了，这首歌除了做游戏的宣传曲之余，还能做电影的主题曲，邓紫棋穿起战服再配上战袍简直就是靓爆镜,174,0,5 years ago (edited),,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg,@weijingteo8646,UCTg0Osa9H5y21EpcotJ1VCQ,这是我唯一最崇拜的女歌手♥,399,0,5 years ago (edited),,,
youtube,OiN5f7DT1Og,Ugz32w3pGh2UZn2NKxd4AaABAg,@某魚-u7e,UCJ679f15_mFzlnt6hkNJdkg,姐姐穿漢服好美又好帥啊,19,0,4 years ago,,,
youtube,OiN5f7DT1Og,Ugy_X9hZ12wF3al0f494AaABAg,@ahfung5771,UCnKHfUqfcSLKxrC0EIgUhhQ,"都說雙兔傍地走，安能辨我是雌雄。鄧紫棋花木蘭造型也太帥太颯了，那一支裹挾火焰的箭羽直射我心裡。我真的好喜歡『萬國覺醒』這首歌！它由始至終貫徹著一股強悍不屈的性格，透過詞曲描繪自古英雄的豪邁與灑脫。大鼓貫穿著全曲，營造了澎湃感，讓人彷彿置身於烽鼓不息的戰場。而在第二段主歌，鼓點的增加以及電音的加入增加了歌曲的驚喜感，使層次更加豐富。最後人生的鋪墊更是我最喜歡的部分，猶如金鐘戰鼓一齊響起，戰爭的聲音在我耳邊迴盪。搭配上G.E.M.強而有力的聲音，層層堆疊，猶如英雄孤寂卻堅定的覺醒之路。

英雄本就無名 萬國終將覺醒💜💜",34,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgzYDvpcDyNjV-wWwhx4AaABAg,@hazelsophia9331,UCFyAvT5M-2iK52JESdmgm2g,"代言德芙巧克力出了《心的节奏》
代言百事可乐出了《和你在一起》
代言多芬洗发水出了《我说了算》
代言曼秀雷敦出了《天空没有极限》
代言游戏出了《万国觉醒》
请邓紫棋代言也太划算了吧，还带送歌的哈哈哈     而且听说这次的MV的经费比《摩天动物园》都多    不愧是当代木兰——邓紫棋！！这首歌真的太适合她了，整首歌贯彻她强悍不屈的性格，透过词曲描绘自古英雄孤寂而坚定的觉醒之路！邓紫棋SLAY！",63,0,5 years ago,,,
