platform,video_id,title,author,author_id,snapshot_date,view_count,like_count,comment_count,share_count,favorite_count,coin_count,danmaku_count,publish_date,tags,url
youtube,88VCUQh-1ww,花2万玩率土！竟抽不出一张材料将你敢信吗？ #率土之滨 #游戏 #氪金 #下头男小柏 #钞能力【下头男小柏】,下头男小柏,UCxD5HW8fZBno7UP6EvhlzcA,2026-04-15,2784,8,1,0,0,0,0,2026-01-08,"下头男小柏,游戏,氪金,充值,爽文,测评,退钱,二次元,火影忍者,QQ飞车,原神,老游戏",https://www.youtube.com/watch?v=88VCUQh-1ww
youtube,lG8A7Eo3gu8,版本最强主城4队推荐 率土之滨 率批同盟故事会 SLG 策略游戏 率土队伍推荐,不长胡子超人,UC9zpxc8CXsHGiI9FlVRnR9w,2026-04-15,1089,1,0,0,0,0,0,2025-04-11,"游戏,竞技游戏",https://www.youtube.com/watch?v=lG8A7Eo3gu8
youtube,TM1wlKKE4Bw,【排骨】率土之濱之我非王臣,排骨教主的搬運站,UCSyIA0vb3LAAKl_ewfpYHEw,2026-04-15,20657,209,7,0,0,0,0,2018-10-26,,https://www.youtube.com/watch?v=TM1wlKKE4Bw
youtube,weGwn1n0RSQ,激烈程度刷新三观，率土之滨擂台服上演8000人打1000人率土之滨  率土十周年  率土之滨打全区,黑桃没有k,UC6DX1H0poXSzMiEcRb8cNCQ,2026-04-15,78,0,0,0,0,0,0,2025-04-24,"游戏,策略类",https://www.youtube.com/watch?v=weGwn1n0RSQ
youtube,Snm_Tn97jAs,率土之濱破解版無限玉符T0陣容搭配最新2023，率土之濱T0陣容搭配推薦,J. Oey Saunderss,UCtBBq92dw8DxvVElme5RDUQ,2026-04-15,458,1,0,0,0,0,0,2023-02-17,率土之濱,https://www.youtube.com/watch?v=Snm_Tn97jAs
youtube,-vmHe-Q5hdM,【率土之濱】大陸運營了7年的國戰策略手遊究竟好玩嗎？,Gravity Gaming,UCv_3zHYb3Hwq1jzGgVNSn8g,2026-04-15,2869,10,4,0,0,0,0,2022-10-23,,https://www.youtube.com/watch?v=-vmHe-Q5hdM
youtube,ePjO_NzV4pQ,【率土之滨】 打空五队满兵能打多少武勋！？率土之滨 率土星推计划 率土十周年 率土之滨打全区 率土青春服,率土无忧,UCQGBcGlcQr1yJ-t2czAZdug,2026-04-15,292,1,0,0,0,0,0,2025-03-26,"游戏,竞技游戏",https://www.youtube.com/watch?v=ePjO_NzV4pQ
youtube,91BITYkimZ4,新手从零开始得率土之滨 氪金玩家 率土之滨策略战争手游推荐 我的游戏日常 手游推荐,老芒果,UCMqUJp4roNKwUKpxPKXjtcg,2026-04-15,416,2,0,0,0,0,0,2025-03-31,"游戏,射击游戏",https://www.youtube.com/watch?v=91BITYkimZ4
youtube,3QThNfI46hE,逆天！【率土之滨】竟然出“私服”了 #率土之滨 #游戏 #氪金 #下头男小柏 #钞能力【下头男小柏】,下头男小柏,UCxD5HW8fZBno7UP6EvhlzcA,2026-04-15,2197,4,1,0,0,0,0,2025-12-27,"下头男小柏,游戏,氪金,充值,爽文,测评,退钱,二次元,火影忍者,QQ飞车,原神,老游戏",https://www.youtube.com/watch?v=3QThNfI46hE
youtube,knR337K__0A,【率土】 细节拉满！这才是真正的策略游戏！#率土之滨 #率土星推计划 #率土造星计划 #率土十周年,率土无忧,UCQGBcGlcQr1yJ-t2czAZdug,2026-04-15,348,0,3,0,0,0,0,2025-05-18,"游戏,竞技游戏",https://www.youtube.com/watch?v=knR337K__0A
youtube,3itSoYGSTBU,【率土之濱】史上最華麗Skin! 全新角色登場丨Alex青鳥,Alex青鳥,UCOtH_i-usYw5uuGamq_sAag,2026-04-15,66,1,0,0,0,0,0,2026-02-28,"三國志戰略版,android 手遊,android 遊戲,ios 手遊,slg游戏,率土之濱 春節,率土之濱 平民,率土之濱,率土之濱 白版,率土之濱 黑科技",https://www.youtube.com/watch?v=3itSoYGSTBU
youtube,lQE683fRyhM,绝境！给游戏充值十万却沦为阶下囚！江湖不是打打杀杀而是人情世故!#率土之滨十周年 #游戏鉴赏家 #游戏解说 #手游 #手機遊戲 #三国的星空第一部 #率土之滨 #率土联动三国的星空,一叮当猫一,UC4Bsl8pffJ8FxWlVXpXHppw,2026-04-15,1690,21,0,0,0,0,0,2025-10-09,"斗破苍穹,二次CARTOON,动漫,动漫解说",https://www.youtube.com/watch?v=lQE683fRyhM
youtube,V-a2dhLHmu0,【率土之滨】三维地图讲解——刘备逆袭与陨落，及蜀汉三位谋士 #率土之滨莫非狼人 #率土万人狼人杀 #率土十周年, stories on the map,UC7h9xIbPwOGDpdVqFtGOG7w,2026-04-15,2582,22,7,0,0,0,0,2025-08-14,"楚汉之争,楚汉,楚汉传奇,三国,故事,地图,讲故事,刘邦,三维地图,历史",https://www.youtube.com/watch?v=V-a2dhLHmu0
youtube,n0iTWBsnF3E,【率土】为了吃克制不惜花重金安排皮肤？！#率土之滨 #率土星推计划 #率土造星计划 #率土十周年,率土无忧,UCQGBcGlcQr1yJ-t2czAZdug,2026-04-15,119,1,0,0,0,0,0,2025-06-21,"游戏,策略类",https://www.youtube.com/watch?v=n0iTWBsnF3E
youtube,dT558ri2lhY,充10万玩率土！被狠狠做局！5打1变成了1打5！玩我呢？？？ #率土之滨 #游戏 #搞笑 #二次元 #氪金 #钞能力【下头男小柏】,下头男小柏,UCxD5HW8fZBno7UP6EvhlzcA,2026-04-15,2515,12,0,0,0,0,0,2026-01-20,"下头男小柏,游戏,氪金,充值,爽文,测评,退钱,二次元,火影忍者,QQ飞车,原神,老游戏",https://www.youtube.com/watch?v=dT558ri2lhY
youtube,Wr669M4drSI,#率土之滨 上来就9C开荒需要具备什么样的条件?效果又如何呢？我感觉这套还是一般可能是吕布不够稳定的关系！#率土星推计划 #率土之滨 #率土十周年,率土之滨苍苍苍澜,UCOp5lkbczfHw5EQ3lBXQ_9g,2026-04-15,47,0,0,0,0,0,0,2025-08-25,\N,https://www.youtube.com/watch?v=Wr669M4drSI
youtube,gZlt-o7Vd4c,【率土之濱】全字幕 - 無課開局最強陣容推薦！開局好用戰法搭配！不用怕抽不到！《精選攻略第2集》,阿貝手遊頻道 MrBay,UCmEuDV8nGlHIyRHYMh5OCvQ,2026-04-15,6756,48,2,0,0,0,0,2022-07-27,"率土之濱,率土之濱攻略,三國SLG遊戲,三國志戰略版,三國之奇謀天下,手遊,手遊攻略,手機遊戲,介紹,下載,攻略,電玩,電動,動畫,動漫,漫畫,美少女,首抽,免費,白嫖",https://www.youtube.com/watch?v=gZlt-o7Vd4c
youtube,dHoIVdeiAo0,#率土星推计划 #率土之滨 #率土大神出征 #率土十周年 #率土冰雪之旅 率土之滨这套很早的阵容现在用的真不多了！落地不好还好是官渡本！,率土之滨苍苍苍澜,UCOp5lkbczfHw5EQ3lBXQ_9g,2026-04-15,18,0,0,0,0,0,0,2025-09-15,\N,https://www.youtube.com/watch?v=dHoIVdeiAo0
youtube,YF-YJV_6vDA,【率土之滨】 这就是策略游戏天花板！率土之滨 率土星推计划 率土大神出征,率土无忧,UCQGBcGlcQr1yJ-t2czAZdug,2026-04-15,119,1,0,0,0,0,0,2025-04-11,"游戏,策略类",https://www.youtube.com/watch?v=YF-YJV_6vDA
youtube,4xZYUwaqLUA,【率土之滨】 前排抓克制有多爽！率土之滨  率土星推计划,率土无忧,UCQGBcGlcQr1yJ-t2czAZdug,2026-04-15,110,2,1,0,0,0,0,2025-04-11,"游戏,竞技游戏",https://www.youtube.com/watch?v=4xZYUwaqLUA
youtube,aMsD6MxAoEw,遼姬騎“爆炸”加強！這強度三戰策劃真的會玩遊戲嘛？【三國志戰略版】,三戰Neko,UCfKmifEz2g2ziATVjMdH6nQ,2026-04-15,1072,13,0,0,0,0,0,2026-04-14,"三國志戰略版,三国志战略版,三战,三國志真戦,三戰,三國志戰略版 開荒",https://www.youtube.com/watch?v=aMsD6MxAoEw
youtube,qg7EoNvmZz4,三戰4月15日版本更新，趙雲巨大加強，這強度S賽季直接封神！【三國志戰略版】,三戰Neko,UCfKmifEz2g2ziATVjMdH6nQ,2026-04-15,3241,39,1,0,0,0,0,2026-04-14,"三國志戰略版,三国志战略版,三战,三國志真戦,三戰,三國志戰略版 開荒",https://www.youtube.com/watch?v=qg7EoNvmZz4
youtube,fk4Dv6y2kxc,重磅解讀！數據會說話！平民玩家最值得參考的出隊建議！【三國志戰略版】,三戰Neko,UCfKmifEz2g2ziATVjMdH6nQ,2026-04-15,4665,29,1,0,0,0,0,2026-04-13,"三國志戰略版,三国志战略版,三战,三國志真戦,三戰,三國志戰略版 開荒",https://www.youtube.com/watch?v=fk4Dv6y2kxc
youtube,erSgGFIP-EU,三戰新手篇之【現版本養號攻略】 帶你少踩一些坑~  #三國志戰略版 #抽卡 #典藏 #裝備 #營造,心遠攻略組,UCFFthlM-Jlf-X-ssly8ihOA,2026-04-15,28267,268,21,0,0,0,0,2025-08-05,"三國志戰略版,三戰,三戰neko,酒神攻略姐,SP馬超,皇甫嵩,許攸,皇馬槍",https://www.youtube.com/watch?v=erSgGFIP-EU
youtube,zKevYnc2jXI,徹底瘋狂！40發典藏只為搏SP曹操，能否如願，一口氣全部梭哈！【三國志戰略版】,三戰Neko,UCfKmifEz2g2ziATVjMdH6nQ,2026-04-15,3288,16,3,0,0,0,0,2026-02-01,"三國志戰略版,三国志战略版,三战,三國志真戦,三戰,三國志戰略版 開荒",https://www.youtube.com/watch?v=zKevYnc2jXI
